Product_ID,Product_Name_Short,Product_Name,Pack_Quantity,Store_Name,Current_Price,Shipping_Cost,Total_Cost,Unit_Price,Store_Link,Last_Updated
ENMAXAA16,AA Battery,"Energizer MAX AA Batteries (16 Pack), Double A Alkaline Batteries",16,Amazon,11.39,0,11.39,0.71,amazon.com/gp/aw/d/B0D51LH5Y5/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=ca448e6cc823911fe8ad16184029940d&hsa_cr_id=0&qid=1763053368&sr=1-1-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_be_s_sparkle_dlcd_asin_0_img&pd_rd_w=hFwij&content-id=amzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d%3Aamzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_p=9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_r=TBS5FNMKSKT1MYG2CCVS&pd_rd_wg=x5xt0&pd_rd_r=46b3315b-ecc0-44af-8455-16238fe7be4d,11/13/2025
ENAA32,AA Battery,"Energizer AA Batteries Alkaline Power, 32 Count",32,Amazon,19.95,0,19.95,0.62,https://www.amazon.com/Energizer-Batteries-Double-Long-Lasting-Alkaline/dp/B09RTVD1GF/ref=sr_1_6?crid=2KJQ0Q2Z3KGK9&dib=eyJ2IjoiMSJ9.I3oiMiCyXuKH0QVGjdgKQeMCgrPdhSIKm4EWXdmi1pVTkctBm9v1pbuB2eaLNxGxJpmRJQxBTa3R9Vgjpp1TzSMwUfRnMSrlzDNhXWD4SUFkdbdG2_lgNsYrF19wAEXiditAvoL8VXDEFRP3GzyaWbKPQuw3XIPJQYOCP5Yc5_2N1s5YbI-JlDyr12iNLXTlzB2SsuCb1U8PrsVs1VPxzF7El6T_-0esxD23bkOzpBgxLWutTnfOYFFUb_iUfd3kKWBCgaVRawl23cQCBI0TKAUwpoKFyOHTfYsSDCFkSQs.KkLgVcK4hxjf3eY0jguFqValyFUulnZNypEi2dvPwuM&dib_tag=se&keywords=energizer%2Bbattery%2BAA&qid=1763054804&sprefix=energizer%2Bbattery%2Baa%2Caps%2C165&sr=8-6&th=1,11/13/2025
ENAAA20,AAA Battery,"Energizer Alkaline Power AAA Batteries, 20 Count",20,Amazon,14.73,0,14.73,0.74,https://www.amazon.com/gp/aw/d/B0DDWN12RL/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=ca448e6cc823911fe8ad16184029940d&hsa_cr_id=0&qid=1763053368&sr=1-3-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_be_s_sparkle_dlcd_asin_2_img&pd_rd_w=hFwij&content-id=amzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d%3Aamzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_p=9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_r=TBS5FNMKSKT1MYG2CCVS&pd_rd_wg=x5xt0&pd_rd_r=46b3315b-ecc0-44af-8455-16238fe7be4d&th=1,11/13/2025
